Comentario_Limpio;Categoria_N1;Categoria_N2;Categoria_N3;Sentimiento;Palabras;Usa_Exclusiones
seguridad;seguridad;prevencion de fraudes;Sin categoría N3;neutral;1;Sí
no sirve para nada;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;4;Sí
no puede ser posible que no pase la tarjeta cuando esta 100 habilitada para compras en el exterior;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;18;Sí
no cobrar comision como lo hace interbank;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;7;Sí
en cumplir los plazos y pagos de reembolsos indebidos efectuados por membresia dan razon al cliente pero no devuelven el cobro indebido;funcionalidad;operaciones;Sin categoría N3;neutral;22;Sí
mas organizacion y rapidez;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;4;Sí
ayudarnos a resolver nuestros propios problemas de lo contrario como vamos a recomendar si no nos ayudan;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;17;Sí
la plataforma para lenta no se puede realizar yapeos a mi numero;funcionalidad;operaciones;no puede realizar no especificado;neutral;12;Sí
mas seguimiento a usuarios empresas;diseno;Sin categoría N2;Sin categoría N3;neutral;5;Sí
dejar de extorsionar para que paguen la deuda;otros;prestamos;Sin categoría N3;neutral;8;Sí
cuando quiero hacer varias transferencias a otros bancos se cuelga y tengo que estar cerrando y volviendo a entrar a la aplicacion y esto siempre sucede;tarifas;comision;Sin categoría N3;neutral;26;Sí
xxx;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
expandir mas el yape;funcionalidad;operaciones;Sin categoría N3;neutral;4;Sí
antes me daban adelanto sueldo y ahora no se que criterios se sigue para el adelanto sueldo;otros;prestamos;Sin categoría N3;neutral;17;Sí
ampliar mas servicios de sucursales en provincias;funcionalidad;inestabilidad;mantenimiento;neutral;7;Sí
0;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
no carga;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;2;Sí
no deberia ser una ia la que este en comunicacion a las dudas o necesidades;otros;centro de contacto;Sin categoría N3;neutral;15;Sí
nada tengo la cuenta bloqueada por ustedes por el pago de una papeleta que no tiene q ver nada con mis cuentas;funcionalidad;operaciones;no puede realizar no especificado;neutral;22;Sí
no dejan dormir;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
ninguno;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
ya avise en otra ocasion la app tiene un error cuando tienes una compra en cuotas luego de pagar el monto minimo te deja hacer un pago dirigido a tu deuda lo cual no deberia suceder sino hasta pagar todo lo correspondiente al mes al hacer el pago dirigido te disminuye tambien el monto pendiente de pago mensual sin embargo es ficticio porque al venir la facturacion aparece como que no has pagado nada del monto mensual ese que disminuye lo cual te genera intereses y una deuda en el mes siguiente me paso 2 veces me dijeron que lo habian arreglado pero todavia sigue me siento estafada;otros;bloqueo de cuenta;Sin categoría N3;negativo;108;Sí
problema en transferencia;funcionalidad;operaciones;Sin categoría N3;negativo;3;Sí
mayor seguridad;seguridad;prevencion de fraudes;Sin categoría N3;neutral;2;Sí
en el horario de pagos de la app deberia ser hasta mas tarde;otros;agencias;Sin categoría N3;neutral;13;Sí
falta explicacion sobre las deudas;otros;prestamos;Sin categoría N3;neutral;5;Sí
no deberia haber limite para las transferencias interbancarias y sin costo;tarifas;comision;transferencia;neutral;11;Sí
deberian dejar acceder al aplicativo son necesidad de un bloqueo de pantalla en el equipo celular es incomodo estar poniendo un patron o una contrasena na antes de acceder al aplicativo;funcionalidad;login;Sin categoría N3;neutral;31;Sí
para ingresar mi tarjeta demore mas de 1 semana y media porque me salia puro error y ahora que reviso mis movimientos me falta dinero;funcionalidad;inestabilidad;Sin categoría N3;negativo;25;Sí
no puedo activar mi tarjeta por banca movil;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;8;Sí
que se pueda configurar las tarjetas activacion y apagado cuando uno lo solicite;funcionalidad;token;no puede activar;neutral;13;Sí
no me dan solucion a mi reclamo;otros;reclamos;Sin categoría N3;negativo;7;Sí
llamadas puntuales y no masivas;otros;Sin categoría N2;Sin categoría N3;neutral;5;Sí
que funcionen correctamente las operaciones;funcionalidad;operaciones;Sin categoría N3;neutral;5;Sí
tengo problemas con la sincronizacion del token llamo al banco y no contestan me dejan en espera;tarifas;Sin categoría N2;Sin categoría N3;negativo;17;Sí
automatizar procesos con tecnologias innovadoras para mejorar la eficiencia en el tiempo de respuesta y demoras del transacciones bancarias;funcionalidad;inestabilidad;lentitud;neutral;19;Sí
su sistema es lento;funcionalidad;inestabilidad;lentitud;negativo;4;Sí
el ingreso ha empeorado con la ultima actualizacion;funcionalidad;inestabilidad;mantenimiento;neutral;8;Sí
no funciona mi token digital y aun uds no pueden solucionarlo llego 1 ano;funcionalidad;token;no funciona;neutral;14;Sí
isi un reclamo que perdi 100 en una cuenta y no tomaron cartas en el asunto;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;16;Sí
a la senorita le solicite que me devolviera la llamada porque me encontraba en una reunion laboral para que me pueda explicar a detalle la informacion;otros;informacion;falta de informacion;neutral;26;Sí
nuca pense que me congelarian mi cuenta;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;7;Sí
no son practicos;diseno;amigable;Sin categoría N3;positivo;3;Sí
mucho tiempo;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;2;Sí
muy bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;2;Sí
que el personal de apoyo sean amables y esten presto a dar apoyo;otros;agencias;Sin categoría N3;neutral;13;Sí
mejoren todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
pesima informacion;otros;informacion;falta de informacion;neutral;2;Sí
no esta permitiendo realizar transacciones;funcionalidad;operaciones;Sin categoría N3;neutral;5;Sí
atencion de espera del cliente;funcionalidad;operaciones;demora;neutral;5;Sí
en nada me robaron toda mi plata por medio de su aplicativo y hasta ahora no me devuelvan;seguridad;fraudes;Sin categoría N3;neutral;18;Sí
en aperturar mas cajeros estuve 1 hora esperando;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;8;Sí
que me permita hacer las operaciones que indica la aplicacion;funcionalidad;operaciones;Sin categoría N3;neutral;10;Sí
al realizar compra en internet dicen que envian un sms o mail para verificacion y nunca llega y se pierde las compras y ofertas;funcionalidad;constancias;no llega;neutral;24;Sí
en los token;funcionalidad;token;Sin categoría N3;neutral;3;Sí
los accesos no ayudan;funcionalidad;token;Sin categoría N3;neutral;4;Sí
en que deben agilizar el tema de levantamiento de embargo en cuenta el mio esta desde el 13 y hasta ahora no lo procesan agilicen su sistema;funcionalidad;inestabilidad;caida de sistema;neutral;27;Sí
mala atencion;otros;reclamos;Sin categoría N3;negativo;2;Sí
mejorar en dar mas oportunidades de creditos;otros;prestamos;Sin categoría N3;neutral;7;Sí
resolver los problemas x llamada sin tener q acercarse al banco;tarifas;Sin categoría N2;Sin categoría N3;negativo;11;Sí
ya estan poniendo demasiada cosa a mi parecer lo simple es siempre lo que buscamos sobretodo por el tema de tiempos de igual forma la app es la que mas caidas tiene de entre todas las apps de bancos mejorar eso;tarifas;Sin categoría N2;Sin categoría N3;neutral;41;Sí
en no demorarse;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
no resuelven el problema yo siendo por primera vez cliente de uds yo trabajo con otros bancos hace anos;tarifas;Sin categoría N2;Sin categoría N3;negativo;19;Sí
pesimo;noespecifica;Sin categoría N2;Sin categoría N3;negativo;1;Sí
no funciona el servicio de activacion de tarjeta de credito;otros;prestamos;Sin categoría N3;neutral;10;Sí
q no se cuelgue;noespecifica;Sin categoría N2;Sin categoría N3;neutral;4;Sí
no tiene prestamo a pesar que yo tengo una buena historial crediticio;otros;prestamos;no hay campanas;neutral;12;Sí
mi app esta fallando y no me deja transferir dinero a ninguna cuenta;funcionalidad;operaciones;no puede realizar monetarias;neutral;13;Sí
vvhhh;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
no permite hacer transferencias seguidas;funcionalidad;operaciones;Sin categoría N3;neutral;5;Sí
mejoren su soporte del app se para cayendo cada fin de semana no se puede acceder al aplicativo ni realizar pagos;otros;centro de contacto;Sin categoría N3;neutral;21;Sí
todo ok;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
pago cuotas;funcionalidad;operaciones;Sin categoría N3;neutral;2;Sí
lo que no puede solucionar la banca movil es caso perdido porque otros departamentos no solucionan;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;16;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
no me permitio hacer ningun tramite me senalo que vaya a una sede;otros;agencias;Sin categoría N3;neutral;13;Sí
x;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
todo bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;2;Sí
accesibilidad;diseno;Sin categoría N2;Sin categoría N3;neutral;1;Sí
llamo para solidarisarme que no sierren el agente del bcp de rodriguez de mendoza que no lo sierren o lo canselen ese punto buena atencion y hay dinero;otros;agencias;Sin categoría N3;neutral;28;Sí
tiene muchos problemas a la hora de configurar las cosas por que al pedir las fotos no acepta las fotos o que son muy chicas o la cara no coincide con el tamano de que le piden;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;37;Sí
no me deja ver las transacciones de mis otras cuentas;funcionalidad;operaciones;no puede realizar consultas;neutral;10;Sí
por la red lentitud;funcionalidad;inestabilidad;lentitud;neutral;4;Sí
menos preguntas mas comodidad;diseno;Sin categoría N2;Sin categoría N3;neutral;4;Sí
algo bueno;otros;comentarios positivos;Sin categoría N3;positivo;2;Sí
soluciones prontas sin tanto proceso;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;5;Sí
esta mejorando;noespecifica;Sin categoría N2;Sin categoría N3;positivo;2;Sí
se para colgando;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;3;Sí
deberia de funcionar las 24h deberian mejorar su sistema anticaidas;funcionalidad;inestabilidad;mantenimiento;neutral;10;Sí
es demasiado exigente con la autenticacion agora al verdadero dueno de la cuenta o usuario de la tarjeta;funcionalidad;token;no funciona;neutral;18;Sí
nada;otros;comentarios genericos;Sin categoría N3;neutral;1;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
no me llegan rapido los correos electronicos;funcionalidad;notificaciones;Sin categoría N3;neutral;7;Sí
3 veces e solicitado una tdc y no me han dado respuesta de q puedo hacer para obtenerla ya q trabajo extilismo y seria una oportunidad para comprae herramientas ya q tengo 5 anos con la cuenta pero nada;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;39;Sí
si;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
deberian mejoras las plataformas de atencion al cliente;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;8;Sí
todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
ser sinceros en los que dicen;noespecifica;Sin categoría N2;Sin categoría N3;neutral;6;Sí
muy buena;noespecifica;Sin categoría N2;Sin categoría N3;positivo;2;Sí
dejar de cobrar comisiones por transferencias interbancarias;funcionalidad;operaciones;Sin categoría N3;neutral;7;Sí
que sean mas rapido los reclamos y que den solucion;otros;reclamos;Sin categoría N3;neutral;10;Sí
poder comunicarse directamente con un asesor con los estados de pedidos de tarjetas de creditos;otros;agencias;Sin categoría N3;neutral;15;Sí
mantener con baucher los cajeros automaticos;otros;cajero;Sin categoría N3;neutral;6;Sí
que pueda funcionar son internet;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;5;Sí
no creo que puedan mejorar;noespecifica;Sin categoría N2;Sin categoría N3;positivo;5;Sí
su aplicacion deben mejorar no funciona;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;6;Sí
xx;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
atender mas rapido;otros;comentarios positivos;Sin categoría N3;positivo;3;Sí
es una perdida de tiempo no solucionaron mi problema;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;9;Sí
no se encuentra lo que se busca ya no aparecen las opciones basicas;diseno;ubicacion de funcionalidades;Sin categoría N3;neutral;13;Sí
no me ayudo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
aveces tarda en responder;funcionalidad;inestabilidad;caida de sistema;neutral;4;Sí
atencion mas directa y no mandandome a conversar con un bot que no me entiende y no me da solucion;otros;agencias;capacidad de solucion;neutral;20;Sí
ok;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
no me solucionan el inconveniente que tengo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;7;Sí
no me sirve;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;3;Sí
no se xq en mi celular no puedo ver mis cuentas sin embargo en mi tablet si eso como s3 hace nadie responde ese robot no ayuda;funcionalidad;no permite instalar app;Sin categoría N3;neutral;27;Sí
aprendan a sincronizar la comunicacion y evitar interferencias entre bot y asesor humano;otros;agencias;Sin categoría N3;neutral;13;Sí
el cajero de deposito no me dejo ingresar dinero y en el otro cajero estaba un sr demorandose haciendo muchos depositos le rechazaban los billetes y los volvia a ingresar deberian estar ambos activos;otros;cajero;cantidad disponible;neutral;34;Sí
no son enpaticos con sus clientes mi solicitud fue rechazado y no brindan facilidades;otros;nuevas funcionalidades;Sin categoría N3;neutral;14;Sí
no se puedo realizar el prestamo que yo queria;otros;prestamos;no hay campanas;neutral;9;Sí
no funciona las aplicacion para pasar a cuatas;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;8;Sí
cobran comision por transferencia y no se pudo hacer salio error;funcionalidad;inestabilidad;Sin categoría N3;negativo;11;Sí
la app no debe bloquear mi tarjeta;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;7;Sí
en todo l atencion es pesima y no deberian escaparse cuando se le pide hacer un reclamo;otros;reclamos;Sin categoría N3;negativo;17;Sí
mas conversan que travajan;noespecifica;Sin categoría N2;Sin categoría N3;neutral;4;Sí
no me ayudaron a solucionar nada mas bien hicieron que se me bloqueara la cuenta los asesores no dan una respuesta concreta;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;22;Sí
deben actualizar los estados de pago;funcionalidad;operaciones;no puede realizar servicing;neutral;6;Sí
atencion al cliente;otros;reclamos;Sin categoría N3;neutral;3;Sí
al hacer el reconocimiento del rostro su sistema falla tanto que me envio que lo intente en 24 horas;seguridad;movimientos no reconocidos;Sin categoría N3;negativo;19;Sí
muy altas cuotas cobran en el prestamo;otros;prestamos;no hay campanas;neutral;7;Sí
tengo mas de 8 meses tratando de activar mi token digital xq estoy fuera del pais y no ha sido posible ha sido todo una burla;funcionalidad;token;no puede activar;neutral;26;Sí
es el unico banco que cobra por transferencia a otros bancos sesupone que si usamos el medio movil facilita y disminuye gastos pero cobram por todo menos por transferencia en el mismo banco asi que preferiero ir al banco sacar el dinero y depositarlo en el otro banco;tarifas;comision;propia;neutral;48;Sí
